bug_id,title,description,category,severity,root_cause,suggested_fix,created_at
134,CSV import corrupts unicode characters,Non-ASCII names appear as garbled text after import.,File I/O,Medium,File opened with default cp1252 encoding on Windows,Open file with encoding='utf-8' explicitly.,2024-01-01 00:00:00
135,CSV import corrupts unicode characters,Non-ASCII names appear as garbled text after import.,File I/O,High,File opened with default cp1252 encoding on Windows,Open file with encoding='utf-8' explicitly.,2024-01-01 00:00:00
136,CSV import corrupts unicode characters,Non-ASCII names appear as garbled text after import.,File I/O,Low,File opened with default cp1252 encoding on Windows,Open file with encoding='utf-8' explicitly.,2024-01-01 00:00:00
137,CSV import corrupts unicode characters,Non-ASCII names appear as garbled text after import.,File I/O,Critical,File opened with default cp1252 encoding on Windows,Open file with encoding='utf-8' explicitly.,2024-01-01 00:00:00
138,CSV import corrupts unicode characters,Non-ASCII names appear as garbled text after import.,File I/O,High,File opened with default cp1252 encoding on Windows,Open file with encoding='utf-8' explicitly.,2024-01-01 00:00:00
139,CSV import corrupts unicode characters,Non-ASCII names appear as garbled text after import.,File I/O,Medium,File opened with default cp1252 encoding on Windows,Open file with encoding='utf-8' explicitly.,2024-01-01 00:00:00
140,CSV import corrupts unicode characters,Non-ASCII names appear as garbled text after import.,File I/O,Critical,File opened with default cp1252 encoding on Windows,Open file with encoding='utf-8' explicitly.,2024-01-01 00:00:00
141,Form validation allows negative quantities,Order form accepts -5 as quantity and creates negative-priced orders.,Validation,Medium,Client-side min attribute not enforced server-side,Add server-side validator: quantity must be positive integer.,2024-01-01 00:00:00
142,Form validation allows negative quantities,Order form accepts -5 as quantity and creates negative-priced orders.,Validation,Medium,Client-side min attribute not enforced server-side,Add server-side validator: quantity must be positive integer.,2024-01-01 00:00:00
143,Form validation allows negative quantities,Order form accepts -5 as quantity and creates negative-priced orders.,Validation,Critical,Client-side min attribute not enforced server-side,Add server-side validator: quantity must be positive integer.,2024-01-01 00:00:00
144,Form validation allows negative quantities,Order form accepts -5 as quantity and creates negative-priced orders.,Validation,High,Client-side min attribute not enforced server-side,Add server-side validator: quantity must be positive integer.,2024-01-01 00:00:00
145,Form validation allows negative quantities,Order form accepts -5 as quantity and creates negative-priced orders.,Validation,Medium,Client-side min attribute not enforced server-side,Add server-side validator: quantity must be positive integer.,2024-01-01 00:00:00
146,Form validation allows negative quantities,Order form accepts -5 as quantity and creates negative-priced orders.,Validation,Medium,Client-side min attribute not enforced server-side,Add server-side validator: quantity must be positive integer.,2024-01-01 00:00:00
147,Form validation allows negative quantities,Order form accepts -5 as quantity and creates negative-priced orders.,Validation,Low,Client-side min attribute not enforced server-side,Add server-side validator: quantity must be positive integer.,2024-01-01 00:00:00
148,Form validation allows negative quantities,Order form accepts -5 as quantity and creates negative-priced orders.,Validation,Low,Client-side min attribute not enforced server-side,Add server-side validator: quantity must be positive integer.,2024-01-01 00:00:00
149,Form validation allows negative quantities,Order form accepts -5 as quantity and creates negative-priced orders.,Validation,Critical,Client-side min attribute not enforced server-side,Add server-side validator: quantity must be positive integer.,2024-01-01 00:00:00
150,Form validation allows negative quantities,Order form accepts -5 as quantity and creates negative-priced orders.,Validation,High,Client-side min attribute not enforced server-side,Add server-side validator: quantity must be positive integer.,2024-01-01 00:00:00
151,Logs missing correlation IDs across services,Cannot trace a request across microservices.,Logging,Low,X-Request-ID header not propagated in HTTP client,Inject request_id via middleware and forward in all outbound calls.,2024-01-01 00:00:00
152,Logs missing correlation IDs across services,Cannot trace a request across microservices.,Logging,Medium,X-Request-ID header not propagated in HTTP client,Inject request_id via middleware and forward in all outbound calls.,2024-01-01 00:00:00
153,Logs missing correlation IDs across services,Cannot trace a request across microservices.,Logging,Critical,X-Request-ID header not propagated in HTTP client,Inject request_id via middleware and forward in all outbound calls.,2024-01-01 00:00:00
154,Logs missing correlation IDs across services,Cannot trace a request across microservices.,Logging,Critical,X-Request-ID header not propagated in HTTP client,Inject request_id via middleware and forward in all outbound calls.,2024-01-01 00:00:00
155,Logs missing correlation IDs across services,Cannot trace a request across microservices.,Logging,Medium,X-Request-ID header not propagated in HTTP client,Inject request_id via middleware and forward in all outbound calls.,2024-01-01 00:00:00
156,Logs missing correlation IDs across services,Cannot trace a request across microservices.,Logging,Critical,X-Request-ID header not propagated in HTTP client,Inject request_id via middleware and forward in all outbound calls.,2024-01-01 00:00:00
157,Logs missing correlation IDs across services,Cannot trace a request across microservices.,Logging,High,X-Request-ID header not propagated in HTTP client,Inject request_id via middleware and forward in all outbound calls.,2024-01-01 00:00:00
158,Logs missing correlation IDs across services,Cannot trace a request across microservices.,Logging,Low,X-Request-ID header not propagated in HTTP client,Inject request_id via middleware and forward in all outbound calls.,2024-01-01 00:00:00
159,Logs missing correlation IDs across services,Cannot trace a request across microservices.,Logging,High,X-Request-ID header not propagated in HTTP client,Inject request_id via middleware and forward in all outbound calls.,2024-01-01 00:00:00
160,Logs missing correlation IDs across services,Cannot trace a request across microservices.,Logging,Low,X-Request-ID header not propagated in HTTP client,Inject request_id via middleware and forward in all outbound calls.,2024-01-01 00:00:00
161,OAuth callback fails with state mismatch,Users get 'invalid state' error after Google sign-in.,Authentication,Critical,"State token stored in memory, lost across load-balanced instances",Store OAuth state in shared Redis with 10-minute TTL.,2024-01-01 00:00:00
162,OAuth callback fails with state mismatch,Users get 'invalid state' error after Google sign-in.,Authentication,Medium,"State token stored in memory, lost across load-balanced instances",Store OAuth state in shared Redis with 10-minute TTL.,2024-01-01 00:00:00
163,OAuth callback fails with state mismatch,Users get 'invalid state' error after Google sign-in.,Authentication,Critical,"State token stored in memory, lost across load-balanced instances",Store OAuth state in shared Redis with 10-minute TTL.,2024-01-01 00:00:00
164,OAuth callback fails with state mismatch,Users get 'invalid state' error after Google sign-in.,Authentication,Low,"State token stored in memory, lost across load-balanced instances",Store OAuth state in shared Redis with 10-minute TTL.,2024-01-01 00:00:00
165,OAuth callback fails with state mismatch,Users get 'invalid state' error after Google sign-in.,Authentication,High,"State token stored in memory, lost across load-balanced instances",Store OAuth state in shared Redis with 10-minute TTL.,2024-01-01 00:00:00
166,OAuth callback fails with state mismatch,Users get 'invalid state' error after Google sign-in.,Authentication,Medium,"State token stored in memory, lost across load-balanced instances",Store OAuth state in shared Redis with 10-minute TTL.,2024-01-01 00:00:00
167,OAuth callback fails with state mismatch,Users get 'invalid state' error after Google sign-in.,Authentication,Low,"State token stored in memory, lost across load-balanced instances",Store OAuth state in shared Redis with 10-minute TTL.,2024-01-01 00:00:00
168,OAuth callback fails with state mismatch,Users get 'invalid state' error after Google sign-in.,Authentication,Low,"State token stored in memory, lost across load-balanced instances",Store OAuth state in shared Redis with 10-minute TTL.,2024-01-01 00:00:00
169,OAuth callback fails with state mismatch,Users get 'invalid state' error after Google sign-in.,Authentication,Medium,"State token stored in memory, lost across load-balanced instances",Store OAuth state in shared Redis with 10-minute TTL.,2024-01-01 00:00:00
170,OAuth callback fails with state mismatch,Users get 'invalid state' error after Google sign-in.,Authentication,Critical,"State token stored in memory, lost across load-balanced instances",Store OAuth state in shared Redis with 10-minute TTL.,2024-01-01 00:00:00
171,Redis cache stampede on popular product page,"When cache expires, hundreds of DB queries fire simultaneously.",Performance,Medium,No mutex around cache-miss recomputation,Use SETNX-based lock or probabilistic early expiration.,2024-01-01 00:00:00
172,Redis cache stampede on popular product page,"When cache expires, hundreds of DB queries fire simultaneously.",Performance,High,No mutex around cache-miss recomputation,Use SETNX-based lock or probabilistic early expiration.,2024-01-01 00:00:00
173,Redis cache stampede on popular product page,"When cache expires, hundreds of DB queries fire simultaneously.",Performance,Medium,No mutex around cache-miss recomputation,Use SETNX-based lock or probabilistic early expiration.,2024-01-01 00:00:00
174,Redis cache stampede on popular product page,"When cache expires, hundreds of DB queries fire simultaneously.",Performance,Low,No mutex around cache-miss recomputation,Use SETNX-based lock or probabilistic early expiration.,2024-01-01 00:00:00
175,Redis cache stampede on popular product page,"When cache expires, hundreds of DB queries fire simultaneously.",Performance,Medium,No mutex around cache-miss recomputation,Use SETNX-based lock or probabilistic early expiration.,2024-01-01 00:00:00
176,Redis cache stampede on popular product page,"When cache expires, hundreds of DB queries fire simultaneously.",Performance,High,No mutex around cache-miss recomputation,Use SETNX-based lock or probabilistic early expiration.,2024-01-01 00:00:00
177,Redis cache stampede on popular product page,"When cache expires, hundreds of DB queries fire simultaneously.",Performance,High,No mutex around cache-miss recomputation,Use SETNX-based lock or probabilistic early expiration.,2024-01-01 00:00:00
178,Redis cache stampede on popular product page,"When cache expires, hundreds of DB queries fire simultaneously.",Performance,Low,No mutex around cache-miss recomputation,Use SETNX-based lock or probabilistic early expiration.,2024-01-01 00:00:00
179,Redis cache stampede on popular product page,"When cache expires, hundreds of DB queries fire simultaneously.",Performance,Low,No mutex around cache-miss recomputation,Use SETNX-based lock or probabilistic early expiration.,2024-01-01 00:00:00
180,Redis cache stampede on popular product page,"When cache expires, hundreds of DB queries fire simultaneously.",Performance,Medium,No mutex around cache-miss recomputation,Use SETNX-based lock or probabilistic early expiration.,2024-01-01 00:00:00
181,CORS preflight fails for authenticated routes,Browser blocks PUT requests from frontend to API.,API,Low,Access-Control-Allow-Credentials not set with specific origin,Set Allow-Origin to specific origin (not *) and Allow-Credentials to true.,2024-01-01 00:00:00
182,CORS preflight fails for authenticated routes,Browser blocks PUT requests from frontend to API.,API,Medium,Access-Control-Allow-Credentials not set with specific origin,Set Allow-Origin to specific origin (not *) and Allow-Credentials to true.,2024-01-01 00:00:00
183,CORS preflight fails for authenticated routes,Browser blocks PUT requests from frontend to API.,API,Medium,Access-Control-Allow-Credentials not set with specific origin,Set Allow-Origin to specific origin (not *) and Allow-Credentials to true.,2024-01-01 00:00:00
184,CORS preflight fails for authenticated routes,Browser blocks PUT requests from frontend to API.,API,Medium,Access-Control-Allow-Credentials not set with specific origin,Set Allow-Origin to specific origin (not *) and Allow-Credentials to true.,2024-01-01 00:00:00
185,CORS preflight fails for authenticated routes,Browser blocks PUT requests from frontend to API.,API,High,Access-Control-Allow-Credentials not set with specific origin,Set Allow-Origin to specific origin (not *) and Allow-Credentials to true.,2024-01-01 00:00:00
186,CORS preflight fails for authenticated routes,Browser blocks PUT requests from frontend to API.,API,Medium,Access-Control-Allow-Credentials not set with specific origin,Set Allow-Origin to specific origin (not *) and Allow-Credentials to true.,2024-01-01 00:00:00
187,CORS preflight fails for authenticated routes,Browser blocks PUT requests from frontend to API.,API,Critical,Access-Control-Allow-Credentials not set with specific origin,Set Allow-Origin to specific origin (not *) and Allow-Credentials to true.,2024-01-01 00:00:00
188,CORS preflight fails for authenticated routes,Browser blocks PUT requests from frontend to API.,API,Critical,Access-Control-Allow-Credentials not set with specific origin,Set Allow-Origin to specific origin (not *) and Allow-Credentials to true.,2024-01-01 00:00:00
189,CORS preflight fails for authenticated routes,Browser blocks PUT requests from frontend to API.,API,High,Access-Control-Allow-Credentials not set with specific origin,Set Allow-Origin to specific origin (not *) and Allow-Credentials to true.,2024-01-01 00:00:00
190,CORS preflight fails for authenticated routes,Browser blocks PUT requests from frontend to API.,API,Critical,Access-Control-Allow-Credentials not set with specific origin,Set Allow-Origin to specific origin (not *) and Allow-Credentials to true.,2024-01-01 00:00:00
191,Password reset link never expires,Old reset links from months ago still work.,Security,Critical,No expiry check on reset token,Include timestamp in token and reject if older than 30 minutes.,2024-01-01 00:00:00
192,Password reset link never expires,Old reset links from months ago still work.,Security,Medium,No expiry check on reset token,Include timestamp in token and reject if older than 30 minutes.,2024-01-01 00:00:00
193,Password reset link never expires,Old reset links from months ago still work.,Security,Low,No expiry check on reset token,Include timestamp in token and reject if older than 30 minutes.,2024-01-01 00:00:00
194,Password reset link never expires,Old reset links from months ago still work.,Security,High,No expiry check on reset token,Include timestamp in token and reject if older than 30 minutes.,2024-01-01 00:00:00
195,Password reset link never expires,Old reset links from months ago still work.,Security,Critical,No expiry check on reset token,Include timestamp in token and reject if older than 30 minutes.,2024-01-01 00:00:00
196,Password reset link never expires,Old reset links from months ago still work.,Security,High,No expiry check on reset token,Include timestamp in token and reject if older than 30 minutes.,2024-01-01 00:00:00
197,Password reset link never expires,Old reset links from months ago still work.,Security,High,No expiry check on reset token,Include timestamp in token and reject if older than 30 minutes.,2024-01-01 00:00:00
198,Password reset link never expires,Old reset links from months ago still work.,Security,Low,No expiry check on reset token,Include timestamp in token and reject if older than 30 minutes.,2024-01-01 00:00:00
199,Password reset link never expires,Old reset links from months ago still work.,Security,High,No expiry check on reset token,Include timestamp in token and reject if older than 30 minutes.,2024-01-01 00:00:00
200,Password reset link never expires,Old reset links from months ago still work.,Security,Low,No expiry check on reset token,Include timestamp in token and reject if older than 30 minutes.,2024-01-01 00:00:00
